symbol,company_name,sector,industry
TECHNOE,Techno Electric & Engineering Co. Ltd.,Industrials,Construction & Engineering
TEXRAIL,Texmaco Rail & Engineering Ltd.,Industrials,Railway Equipment
THERMAX,Thermax Ltd.,Industrials,Industrial Machinery
THYROCARE,Thyrocare Technologies Ltd.,Healthcare,Diagnostics
TITAGARH,Titagarh Rail Systems Ltd.,Industrials,Railway Equipment
TNPETRO,Tamilnadu Petroproducts Ltd.,Materials,Petrochemicals
TNPL,Tamil Nadu Newsprint & Papers Ltd.,Materials,Paper & Paper Products
TRITURBINE,Triveni Turbine Ltd.,Industrials,Industrial Machinery
TRIDENT,Trident Ltd.,Consumer Discretionary,Textiles
TTKPRESTIG,TTK Prestige Ltd.,Consumer Discretionary,Consumer Durables
TV18BRDCST,TV18 Broadcast Ltd.,Communication Services,Media & Entertainment
UCOBANK,UCO Bank,Financials,Banks
UJJIVAN,Ujjivan Small Finance Bank Ltd.,Financials,Banks
UJJIVANSFB,Ujjivan Small Finance Bank Ltd.,Financials,Banks
ULTRACEMCO,UltraTech Cement Ltd.,Materials,Cement & Cement Products
UNIPARTS,Uniparts India Ltd.,Consumer Discretionary,Auto Components
USHAMART,Usha Martin Ltd.,Materials,Wire & Cable Products
UTIAMC,UTI Asset Management Co. Ltd.,Financials,Asset Management
VAIBHAVGBL,Vaibhav Global Ltd.,Consumer Discretionary,E-Commerce
VARROC,Varroc Engineering Ltd.,Consumer Discretionary,Auto Components
VBL,Varun Beverages Ltd.,Consumer Staples,Beverages
VEDL,Vedanta Ltd.,Materials,Diversified Metals & Mining
VENKEYS,Venky's India Ltd.,Consumer Staples,Poultry Products
VESUVIUS,Vesuvius India Ltd.,Materials,Refractories
VTL,Vardhman Textiles Ltd.,Consumer Discretionary,Textiles
WABAG,VA Tech Wabag Ltd.,Industrials,Water Treatment
WELCORP,Welspun Corp Ltd.,Materials,Steel Pipes
WELSPUNIND,Welspun India Ltd.,Consumer Discretionary,Home Textiles
WESTLIFE,Westlife Foodworld Ltd.,Consumer Discretionary,Restaurants
WOCKPHARMA,Wockhardt Ltd.,Healthcare,Pharmaceuticals
ZENTEC,Zen Technologies Ltd.,Industrials,Defense Equipment
ZENSARTECH,Zensar Technologies Ltd.,Information Technology,IT Services & Consulting
